source,model_label,sample_scope,threshold_source,threshold_rule,fog_th,mist_th,n,Fog_P,Fog_R,Fog_CSI,Fog_FAR,Fog_support,pred_fog,Mist_P,Mist_R,Mist_CSI,Mist_FAR,Mist_support,pred_mist,Clear_P,Clear_R,Clear_CSI,Clear_FAR,Clear_support,pred_clear,low_vis_precision,low_vis_csi,low_vis_recall,false_positive_rate,accuracy,Fog_PSS,Fog_HSS,Mist_PSS,Mist_HSS,balanced_acc,mcc,Brier_Fog,Brier_Mist,ECE,matched_rows,ifs_forecast_nc
pmst,main,test,checkpoint,mutual,0.4,0.42999999999999994,1753078.0,0.21966129557012962,0.638304224511121,0.1953462873850277,0.7803387044298704,20097.0,58399.0,0.11262346422548783,0.3230599129293069,0.09111994698475812,0.8873765357745121,14471.0,41510.0,0.9935638764094898,0.9557866989426888,0.9499054448717578,0.006436123590510105,1718510.0,1653169.0,0.2394979431282467,0.21644700540032022,0.6922008794260588,0.04421330105731128,0.9469242098754306,-0.1420344799187494,0.31516300591296187,-0.5643166228452052,0.1566975538793209,0.6390502787943723,25.202559204633193,0.019415568113518345,0.02830482688014624,0.08436228708295072,,
pmst,main,ifs_diagnostic_matched_test,checkpoint,mutual,0.4,0.42999999999999994,1600764.0,0.21860791779100286,0.6393513513513513,0.19460989173714172,0.7813920822089971,18500.0,54106.0,0.10969131371141422,0.2984375,0.08720465700262527,0.8903086862885858,12800.0,34825.0,0.9934516576897051,0.9569719343674019,0.9509733031777349,0.006548342310294854,1569464.0,1511833.0,0.24063599869561794,0.21653125031619633,0.6837060702875399,0.04302806563259814,0.9480354380783176,-0.1420407308576458,0.31399721950428877,-0.5918711862885858,0.15048559559775,0.6315869285729178,26.381705214729116,0.01950909267071155,0.0280123310267311,0.08548911860339109,1600764.0,
ifs_diagnostic,,ifs_diagnostic_matched_test,,,,,1600764.0,0.1909467644246095,0.06475675675675675,0.0508143875127248,0.8090532355753906,18500.0,6274.0,0.035857333587640663,0.0146875,0.010529263511621395,0.9641426664123594,12800.0,5243.0,0.9817007677220722,0.994075047277287,0.9759900559633568,0.01829923227792785,1569464.0,1589247.0,0.1925848745332986,0.05463188748491342,0.07086261980830671,0.005924952722712977,0.9755035720443488,,,,,,,,,,1600764.0,/public/home/putianshu/vis_mlp/VIS_IDW_KDTree_20250101_20251231.nc
