source,model_label,sample_scope,threshold_source,n,Fog_P,Fog_R,Fog_CSI,Fog_FAR,Fog_support,pred_fog,Mist_P,Mist_R,Mist_CSI,Mist_FAR,Mist_support,pred_mist,Clear_P,Clear_R,Clear_CSI,Clear_FAR,Clear_support,pred_clear,low_vis_precision,low_vis_csi,low_vis_recall,false_positive_rate,accuracy,Fog_PSS,Fog_HSS,Mist_PSS,Mist_HSS,balanced_acc,mcc,Brier_Fog,Brier_Mist,ECE,matched_rows,ifs_forecast_nc
pmst,main,test,argmax,1753078.0,0.18934619929105947,0.6698014629049112,0.1731808357348703,0.8106538007089406,20097.0,71092.0,0.0869578386236976,0.3967935871743487,0.07680475114030043,0.9130421613763025,14471.0,66032.0,0.9952356317073382,0.9358426776684453,0.9316687608510904,0.0047643682926617964,1718510.0,1615954.0,0.1959467343426388,0.18552992273326752,0.7772795649155289,0.06415732233155466,0.9283431769721598,-0.1408523378040294,0.2824062186886734,-0.5162485742019538,0.13088385361882435,0.6674792425825684,53.6779893135838,0.019918501860479894,0.02889299405332271,0.08754462474451428,,
pmst,main,ifs_diagnostic_matched_test,argmax,1600764.0,0.18868984363139518,0.6718378378378378,0.17276657260810943,0.8113101563686048,18500.0,65870.0,0.08429273429273429,0.375234375,0.07391846345629992,0.9157072657072657,12800.0,56980.0,0.9951587169483475,0.9371091022157884,0.932856321026196,0.004841283051652532,1569464.0,1477914.0,0.19654049654049655,0.18572362601438405,0.7714057507987221,0.06289089778421168,0.9295505146292645,-0.13947231853076703,0.28166797995345355,-0.5404728907072657,0.12625108591482673,0.661393771684542,0.0,0.019987316525579207,0.0285694471959708,0.08868177692749882,1600764.0,
ifs_diagnostic,,ifs_diagnostic_matched_test,,1600764.0,0.1909467644246095,0.06475675675675675,0.0508143875127248,0.8090532355753906,18500.0,6274.0,0.035857333587640663,0.0146875,0.010529263511621395,0.9641426664123594,12800.0,5243.0,0.9817007677220722,0.994075047277287,0.9759900559633568,0.01829923227792785,1569464.0,1589247.0,0.1925848745332986,0.05463188748491342,0.07086261980830671,0.005924952722712977,0.9755035720443488,,,,,,,,,,1600764.0,/public/home/putianshu/vis_mlp/VIS_IDW_KDTree_20250101_20251231.nc
