method,source_csv,source,sample_scope,threshold_source,threshold_rule,fog_th,mist_th,n,matched_rows,Fog_P,Fog_R,Fog_CSI,Mist_P,Mist_R,Mist_CSI,low_vis_precision,low_vis_recall,low_vis_csi,accuracy,false_positive_rate
PMST argmax,C:\vis_code\vis_eval\manual_metric_inputs\argmax_overall_metrics.csv,pmst,ifs_diagnostic_matched_test,argmax,,,,1600764.00000000,1600764.00000000,0.18868984,0.67183784,0.17276657,0.08429273,0.37523438,0.07391846,0.19654050,0.77140575,0.18572363,0.92955051,0.06289090
PMST threshold,C:\vis_code\vis_eval\manual_metric_inputs\threshold_overall_metrics.csv,pmst,ifs_diagnostic_matched_test,checkpoint,mutual,0.40000000,0.43000000,1600764.00000000,1600764.00000000,0.21860792,0.63935135,0.19460989,0.10969131,0.29843750,0.08720466,0.24063600,0.68370607,0.21653125,0.94803544,0.04302807
IFS diagnostic,C:\vis_code\vis_eval\manual_metric_inputs\threshold_overall_metrics.csv,ifs_diagnostic,ifs_diagnostic_matched_test,,,,,1600764.00000000,1600764.00000000,0.19094676,0.06475676,0.05081439,0.03585733,0.01468750,0.01052926,0.19258487,0.07086262,0.05463189,0.97550357,0.00592495
